[2025-12-17 00:48:26] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 41, IP: ::1
[2025-12-17 00:48:31] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-17 00:48:31] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-17 01:09:26] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 40, IP: ::1
[2025-12-17 01:09:26] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 40, IP: ::1
[2025-12-17 01:09:41] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-17 01:09:41] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 40, IP: ::1
[2025-12-17 01:14:27] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 43, IP: ::1
[2025-12-17 01:14:27] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 43, IP: ::1
[2025-12-17 01:20:17] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 41, IP: ::1
[2025-12-17 01:20:17] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 41, IP: ::1
[2025-12-17 01:20:43] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 43, IP: ::1
[2025-12-17 01:20:43] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 43, IP: ::1
[2025-12-17 01:29:36] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 44, IP: ::1
[2025-12-17 01:29:36] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 44, IP: ::1
[2025-12-17 01:32:27] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 44, IP: ::1
[2025-12-17 01:32:27] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 44, IP: ::1
[2025-12-17 01:32:34] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 44, IP: ::1
[2025-12-17 01:32:34] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 44, IP: ::1
[2025-12-17 01:38:35] SUCCESS - Instructor ID: 1, Action: view_report, Submission ID: 45, IP: ::1
[2025-12-17 01:38:44] SUCCESS - Instructor ID: 1, Action: download_report, Submission ID: 45, IP: ::1
[2025-12-17 01:38:50] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 45, IP: ::1
[2025-12-17 01:38:50] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 45, IP: ::1
[2025-12-17 01:51:37] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 45, IP: ::1
[2025-12-17 01:51:37] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 45, IP: ::1
[2025-12-17 01:51:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 43, IP: ::1
[2025-12-17 01:51:44] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 43, IP: ::1
[2025-12-17 01:57:02] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 45, IP: ::1
[2025-12-17 01:57:02] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 45, IP: ::1
[2025-12-17 01:57:52] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 46, IP: ::1
[2025-12-17 01:57:52] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 46, IP: ::1
[2025-12-18 16:00:25] SUCCESS - Instructor ID: 50, Action: reject, Submission ID: 5, IP: ::1
[2025-12-18 16:00:25] SUCCESS - Instructor ID: 50, Action: reject, Submission ID: 5, IP: ::1
[2025-12-18 16:51:28] SUCCESS - Instructor ID: 50, Action: accept, Submission ID: 6, IP: ::1
[2025-12-18 16:51:28] SUCCESS - Instructor ID: 50, Action: accept, Submission ID: 6, IP: ::1
[2025-12-18 17:16:59] SUCCESS - Instructor ID: 50, Action: add_feedback, Submission ID: 7, IP: ::1
[2025-12-18 17:16:59] SUCCESS - Instructor ID: 50, Action: add_feedback, Submission ID: 7, IP: ::1
[2025-12-18 17:17:01] SUCCESS - Instructor ID: 50, Action: accept, Submission ID: 7, IP: ::1
[2025-12-18 17:17:01] SUCCESS - Instructor ID: 50, Action: accept, Submission ID: 7, IP: ::1
